id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,mes,ano,votos_validos,num_seguiu,disciplina,bancada_suficiente
1173,21173,PL,PL,senado,7,2021,2,2,NA,TRUE
1173,21173,PL,PL,senado,8,2019,1,1,NA,TRUE
1173,21173,PL,PL,senado,8,2020,3,3,NA,TRUE
1173,21173,PL,PL,senado,8,2021,2,1,NA,TRUE
1173,21173,PL,PL,senado,9,2019,0,0,NA,TRUE
1173,21173,PL,PL,senado,9,2020,3,3,NA,TRUE
1173,21173,PL,PL,senado,10,2019,8,8,NA,TRUE
1173,21173,PL,PL,senado,11,2019,4,4,NA,TRUE
1173,21173,PL,PL,senado,11,2020,5,5,NA,TRUE
1173,21173,PL,PL,senado,12,2019,1,1,NA,TRUE
1173,21173,PL,PL,senado,12,2020,1,1,NA,TRUE
1186,21186,PP,PP,senado,2,2021,1,1,NA,TRUE
1186,21186,PP,PP,senado,3,2021,11,11,1,TRUE
1186,21186,PP,PP,senado,4,2019,2,2,NA,TRUE
1186,21186,PP,PP,senado,4,2020,7,6,NA,TRUE
1186,21186,PP,PP,senado,4,2021,2,2,NA,TRUE
1186,21186,PP,PP,senado,5,2020,5,3,NA,TRUE
1186,21186,PP,PP,senado,5,2021,4,3,NA,TRUE
1186,21186,PP,PP,senado,6,2019,3,2,NA,TRUE
1186,21186,PP,PP,senado,6,2020,12,7,0.5833333333333334,TRUE
1186,21186,PP,PP,senado,6,2021,13,9,0.6923076923076923,TRUE
1186,21186,PP,PP,senado,7,2020,4,4,NA,TRUE
1186,21186,PP,PP,senado,7,2021,2,2,NA,TRUE
1186,21186,PP,PP,senado,8,2019,1,1,NA,TRUE
1186,21186,PP,PP,senado,8,2020,4,3,NA,TRUE
1186,21186,PP,PP,senado,8,2021,3,2,NA,TRUE
1186,21186,PP,PP,senado,9,2019,1,1,NA,TRUE
1186,21186,PP,PP,senado,9,2020,6,6,NA,TRUE
1186,21186,PP,PP,senado,10,2019,8,8,NA,TRUE
1186,21186,PP,PP,senado,11,2019,4,4,NA,TRUE
1186,21186,PP,PP,senado,11,2020,4,4,NA,TRUE
1186,21186,PP,PP,senado,12,2019,1,1,NA,TRUE
1186,21186,PP,PP,senado,12,2020,1,1,NA,TRUE
1249,21249,PDT,PP,senado,4,2019,1,1,NA,NA
1249,21249,PDT,PP,senado,6,2019,2,2,NA,NA
1249,21249,PDT,PP,senado,8,2019,1,1,NA,NA
