id_proposicao_leggo,num_tweets,interactions,created_at,username,interesse,sigla_camara,sigla_senado
1ae708c5fbb1605c0282b043b45ccbec,1,64,2020-07-14,tvsenado,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,1,2020-12-08,depnicoletti,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,2,37,2021-02-03,camilopsb,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,59,2021-02-10,taliriapetrone,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,423,2021-02-16,stedile_mst,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,2,2021-04-19,hilton_coelho,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,21,2021-04-19,mpf_pgr,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,1228,2021-04-20,midianinja,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,15,2021-04-26,camaradeputados,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,10,2021-05-17,jeisael_,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,4,2021-05-29,depnicoletti,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,41,2021-06-17,agenciapublica,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,21,2021-06-18,camaradeputados,socioambiental,PL 191/2020,NA
1ae708c5fbb1605c0282b043b45ccbec,1,40,2021-06-19,mst_oficial,socioambiental,PL 191/2020,NA
1bc2466959107dd5a13fd523afd2ffa3,1,12,2020-08-26,angelocoronel_,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,12,2020-08-26,camaradeputados,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,2,2020-09-08,zemariogo,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,32,2020-09-16,senadofederal,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,18,2020-12-02,camaradeputados,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,1392,2020-12-03,alesilva_38,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,149,2020-12-03,alinesleutjes,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,11835,2020-12-03,biakicis,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,7,56,2020-12-03,camaradeputados,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,2825,2020-12-03,carlazambelli38,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,59,2020-12-03,paulambelmonte,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,3,2020-12-03,pauloabiackel,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,1,2020-12-04,depjefferson,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,4,2020-12-04,evairdemelo,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,8,2020-12-04,franciscojr_go,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,7,2020-12-04,geninhozuliani,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,1,2020-12-04,ossesiosilva,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,4,2020-12-07,solidariedadebr,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,7,2020-12-08,arnsflavio,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,153,2020-12-08,senadofederal,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,3,2020-12-08,senadorarose,socioambiental,MPV 996/2020,MPV 996/2020
1bc2466959107dd5a13fd523afd2ffa3,1,5,2020-12-09,angelocoronel_,socioambiental,MPV 996/2020,MPV 996/2020
1d5f1af19f04d44e5413beafca8f9ef7,1,20,2019-10-17,senadofederal,socioambiental,NA,PL 3915/2019
1f3dd954942a5e88c76a392418fc129a,1,7,2019-08-21,camaradeputados,socioambiental,PL 9950/2018,NA
1f3dd954942a5e88c76a392418fc129a,1,11,2020-09-24,camaradeputados,socioambiental,PL 9950/2018,NA
1f3dd954942a5e88c76a392418fc129a,1,1,2020-11-24,vanderloubet,socioambiental,PL 9950/2018,NA
1f3dd954942a5e88c76a392418fc129a,1,519,2021-01-24,alessandromolon,socioambiental,PL 9950/2018,NA
1f8fbe1054bb174908f989d6e29ccf32,1,2,2019-10-01,senadorarose,socioambiental,NA,PL 90/2020
1f8fbe1054bb174908f989d6e29ccf32,1,74,2021-04-15,julianabrizola,socioambiental,NA,PL 90/2020
1f90356e74b35b0a22007f8814c177e9,1,617,2021-03-04,aureacarolinax,socioambiental,PL 5583/2019,NA
210b1c3c0995485229f6104711343544,1,13,2019-04-30,felipecarreras,socioambiental,PL 2580/2019,NA
