Relacionada com Meio Ambiente ou Clima?,Pos/Neg/Neutro para o ambientalismo,proposicao,sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
Sim,"Neutro: os critérios objetivos propostos necessariamente não tornam a aplicação da lei mais célere, ao contrário, pode representar a protelação dos processos.",PL 553/2019,PL,553,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para prever critérios objetivos para a aplicação da pena à pessoa jurídica condenada por crime ambiental.",135108,senado,Meio ambiente,Styvenson Valentim PODEMOS / RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/135108
Sim,Negativo,PDL 564/2019,PDL,564,2019,"Autoriza, nos termos dos arts. 49, inciso XVI, 176, § 1º, e 231, § 3º, da Constituição Federal, a implantação do aproveitamento hidrelétrico de Iraí, localizado no Rio Uruguai, atingindo parte da Terra Indígena Kaingang de Iraí, no Estado do Rio Grande do Sul",138337,senado,Nao especificado,Luis Carlos Heinze PP / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/138337
Sim,Positivo,PL 616/2019,PL,616,2019,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a vigilância sanitária a que ficam sujeitos os medicamentos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos, e dá outras providências, para dispor sobre a regulação ambiental de cosméticos, e dispõe sobre a proibição de protetores solares considerados tóxicos para os recifes de corais.",135169,senado,Meio ambiente,Lasier Martins PODEMOS / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135169
Sim,Neutro: alguns conceitos requerem um definição mais abrangente de modo a não permitirem subterfúgios e efetivamente garantirem a respnsabilização em caso de eventos envolvendo ruptura de barragens.,PL 635/2019,PL,635,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB), e a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH), no exercício de sua atribuição de zelar pela implementação da PNSB.",135161,senado,Recursos hídricos,Lasier Martins PODEMOS / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135161
Sim,Positivo,PL 639/2019,PL,639,2019,"Altera o art. 32 da Lei nº 9.605, de 12 de fevereiro de 1998, para tipificar como crime de maus-tratos a conduta do agente público que, injustificadamente, sacrificar animais apreendidos ou deixar de soltá-los em seu habitat natural ou de destiná-los a pessoas ou entidades que por eles queiram se responsabilizar.",135158,senado,Meio ambiente,Telmário Mota PROS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135158
Sim,Positivo,PL 646/2019,PL,646,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB); a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH) no exercício de sua atribuição de zelar pela implementação da PNSB; a Lei nº 8.072, de 25 de julho de 1990, para tornar hediondo o crime de poluição ambiental com resultado morte; e a Lei nº 9.605, de 12 de fevereiro de 1998, para instituir causa de aumento de pena no crime de poluição com resultado de morte.",135179,senado,Meio ambiente,Randolfe Rodrigues REDE / AP,https://www25.senado.leg.br/web/atividade/materias/-/materia/135179
,Não relacionada ao meio ambiente ou clima.,PL 658/2019,PL,658,2019,"Acrescenta-se o artigo 5°A a Lei nº 11.326, de 24 de julho de 2006, que estabelece as diretrizes para a formulação da Política Nacional da Agricultura Familiar e Empreendimentos Familiares Rurais.",135211,senado,"Agricultura, pecuária e abastecimento",Weverton PDT / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135211
Sim,positivo,PL 690/2019,PL,690,2019,Dispõe sobre a concessão do Selo Estabelecimento Sustentável.,135207,senado,Meio ambiente,Jorginho Mello PL / SC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135207
Sim,"Positivo: promove o aumento da participação da água de reúso no concumo de plantas industriais e prédios comerciais, favorecendo a preservação de recursos hídricos em localizades com baixos índices pluviométricos.",PL 724/2019,PL,724,2019,Torna obrigatória a utilização de patamares mínimos de água de reúso por plantas industriais e prédios comerciais que se instalarem em regiões de baixa precipitação pluviométrica.,135230,senado,Meio ambiente,Veneziano Vital do Rêgo PSB / PB,https://www25.senado.leg.br/web/atividade/materias/-/materia/135230
,Não relacionada ao meio ambiente ou clima.,PL 735/2020,PL,735,2020,"Dispõe sobre medidas emergenciais de amparo aos agricultores familiares do Brasil para mitigar os impactos socioeconômicos da Covid–19; altera as Leis nºs 13.340, de 28 de setembro de 2016, e 13.606, de 9 de janeiro de 2018; e dá outras providências (Lei Assis Carvalho).",143587,senado,"Agricultura, pecuária e abastecimento",Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/143587
Sim,Positivo,PL 754/2019,PL,754,2019,"Altera dispositivos da Lei nº 12.512, de 14 de outubro de 2011, para ampliar a relação de beneficiários do Programa de Apoio à Conservação Ambiental.",135240,senado,Meio ambiente,Chico Rodrigues DEM / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135240
,Não relacionada ao meio ambiente ou clima.,PL 764/2019,PL,764,2019,"Altera a redação do Decreto-Lei nº 79, de 19 de dezembro de 1966, que institui normas para fixação de preços mínimos e execução das operações de financiamento e aquisição de produtos agropecuários e adota outras providências.",135239,senado,"Agricultura, pecuária e abastecimento",Chico Rodrigues DEM / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135239
Sim,"Negativo: corta o parque nacional do iguaçu co uma estrada utilizada para escoamento da produção agrícola da região, sem necessariamente promover incremento na conservação ambiental, especialmente da fauna.",PL 811/2019,PL,811,2019,"Altera a Lei nº 9.985, de 18 de julho de 2000, a fim de criar a categoria de Unidade de Conservação denominada Estrada-Parque e estebelece a Estrada-Parque Caminho do Colono no Parque Nacional do Iguaçu e da outras providências.",135244,senado,Meio ambiente,Alvaro Dias PODEMOS / PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135244
Sim,"Negativo: enfraquece o instituto da multa por dano ambiental, dando poder excessivo aos órgaos ambientais, quase que inviabilizando o instrumento.",PL 875/2019,PL,875,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, para tratar da conversão de multas.",135332,senado,Meio ambiente,Telmário Mota PROS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135332
Sim,Positivo,PL 926/2019,PL,926,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Política Nacional de Segurança de Barragens, para aprimorar os requisitos de elaboração e os critérios para implantação do Plano de Ação de Emergência (PAE).",135377,senado,Meio ambiente,Eliziane Gama CIDADANIA / MA,https://www25.senado.leg.br/web/atividade/materias/-/materia/135377
Sim,Negativo: o projeto é uma forma sutil de legalizar a rinha de galos de briga.,PL 1037/2020,PL,1037,2020,"Dispõe sobre a criação, manejo e exposição de aves da raça Mura – Galo de Combate, com vistas a atender os princípios de garantia do bem-estar animal e da preservação da espécie.",141233,senado,Meio ambiente,Telmário Mota PROS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/141233
Sim,Positivo,PL 1053/2020,PL,1053,2020,Institui Contribuição de Intervenção no Domínio Econômico incidente sobre a importação e comercialização de agrotóxicos e afins (Cide-Agrotóxico).,141252,senado,"Agricultura, pecuária e abastecimento",Jaques Wagner PT / BA,https://www25.senado.leg.br/web/atividade/materias/-/materia/141252
,Não relacionada ao meio ambiente ou clima.,PL 1280/2019,PL,1280,2019,Estabelece condições especiais de financiamento para a aquisição de veículo utilitário por profissional de ciências agrárias.,135572,senado,"Agricultura, pecuária e abastecimento",Luis Carlos Heinze PP / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135572
Sim,"Negativo: Precariza o instituto da reserva legal, permitindo a intervenção na a´rea,  que abre margem para novas intervenções.",PL 1282/2019,PL,1282,2019,"Altera a Lei 12.651/12, de 25 de maio de 2012.",135567,senado,Meio ambiente,Luis Carlos Heinze PP / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135567
,Não relacionada ao meio ambiente ou clima.,PL 1284/2019,PL,1284,2019,"Confere nova redação ao art. 5º do Decreto-lei nº 79, de 19 de dezembro de 1966, que institui normas para a fixação de preços mínimos e execução das operações de financiamento e aquisição de produtos agropecuários e adota outras providências.",135564,senado,"Agricultura, pecuária e abastecimento",Luis Carlos Heinze PP / RS,https://www25.senado.leg.br/web/atividade/materias/-/materia/135564
Sim,positivo,PL 1304/2019,PL,1304,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para tornar mais efetivas as sanções penais e administrativas aplicadas em decorrência de condutas lesivas ao meio ambiente.",135586,senado,Meio ambiente,Zenaide Maia PROS / RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/135586
Sim,Positivo,PL 1330/2019,PL,1330,2019,"Dispõe sobre o recolhimento e a substituição de sacolas plásticas que em sua composição química tenham como base o polietileno, o propileno e o polipropileno.",135595,senado,Meio ambiente,Eduardo Braga MDB / AM,https://www25.senado.leg.br/web/atividade/materias/-/materia/135595
