id_leggo,interesse,periodo,temperatura_recente
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-05-17,0.18
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-05-10,0.24
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-05-03,0.32
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-04-26,0.42
d3faf1ea59d488a45750195ba53bd816,socioambiental,2021-04-19,0.56
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-07-12,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-07-05,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-06-28,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-06-21,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-06-14,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-06-07,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-05-31,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-05-24,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-05-17,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-05-10,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-05-03,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-04-26,0
231f36c8f312f4a6e4f23fd1530b803a,socioambiental,2021-04-19,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-07-12,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-07-05,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-06-28,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-06-21,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-06-14,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-06-07,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-05-31,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-05-24,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-05-17,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-05-10,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-05-03,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-04-26,0
f9bd7e777361dbd947f299ca037b45ca,socioambiental,2021-04-19,0
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-07-12,0
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-07-05,0
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-06-28,0.01
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-06-21,0.01
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-06-14,0.01
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-06-07,0.01
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-05-31,0.02
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-05-24,0.02
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-05-17,0.03
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-05-10,0.04
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-05-03,0.06
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-04-26,0.08
e56e3cdbc6506aff6322820bf2e45ffb,socioambiental,2021-04-19,0.1
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-07-12,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-07-05,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-06-28,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-06-21,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-06-14,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-06-07,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-05-31,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-05-24,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-05-17,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-05-10,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-05-03,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-04-26,0
dbfe518b5c78cc36fe8a42fdc31188ed,socioambiental,2021-04-19,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-07-12,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-07-05,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-06-28,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-06-21,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-06-14,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-06-07,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-05-31,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-05-24,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-05-17,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-05-10,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-05-03,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-04-26,0
c9127699f9a374ed918550f552928c21,socioambiental,2021-04-19,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-07-12,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-07-05,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-06-28,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-06-21,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-06-14,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-06-07,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-05-31,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-05-24,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-05-17,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-05-10,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-05-03,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-04-26,0
2c2948aaea6692477f9ab661b6c8cf89,socioambiental,2021-04-19,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-07-12,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-07-05,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-06-28,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-06-21,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-06-14,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-06-07,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-05-31,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-05-24,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-05-17,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-05-10,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-05-03,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-04-26,0
4baaf6980f17a7dd336abc319fbe3bf3,socioambiental,2021-04-19,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-07-12,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-07-05,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-06-28,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-06-21,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-06-14,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-06-07,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-05-31,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-05-24,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-05-17,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-05-10,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-05-03,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-04-26,0
0a18bffbb7a241f3518f3b71f9981296,socioambiental,2021-04-19,0
963a6871c9f37f04d1ca81482fd60c72,socioambiental,2021-07-12,0
963a6871c9f37f04d1ca81482fd60c72,socioambiental,2021-07-05,0
