id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
1672576-101,-1,B,GOV.,camara
1672576-101,-1,B,PdtSdPode...,camara
1672576-97,-1,P,PRB,camara
1672576-97,2,P,PSOL,camara
1672576-97,1,B,Oposição,camara
1672576-97,-1,P,NOVO,camara
1672576-97,2,P,PT,camara
1672576-97,5,P,PSB,camara
1672576-97,-1,B,PslPpPsd...,camara
1672576-97,-1,P,PPS,camara
1672576-97,-1,B,PdtSdPode...,camara
2149372-22,1,B,PtbProsPslPrp,camara
2149372-22,1,P,PSDB,camara
2149372-22,1,P,PHS,camara
2149372-22,-1,B,Oposição,camara
2149372-22,2,P,REDE,camara
2149372-22,1,P,PSB,camara
2149372-22,-1,B,Minoria,camara
2149372-22,1,P,PPS,camara
2149372-22,1,P,PMDB,camara
2149372-22,2,P,PDT,camara
2149372-22,1,B,Maioria,camara
2149372-22,2,P,PSOL,camara
2149372-22,1,B,PrPrbSd,camara
2149372-22,1,B,PpPodePscAvantePen,camara
2149372-22,1,P,PSD,camara
2149372-22,2,P,PCdoB,camara
2149372-22,1,P,DEM,camara
2149372-22,-1,P,PV,camara
2149372-22,1,B,GOV.,camara
2149372-22,5,P,PT,camara
2194357-6,1,P,PRB,camara
2194357-6,1,P,PCdoB,camara
2194357-6,2,P,PSOL,camara
2194357-6,1,B,PdtPodePros...,camara
2194357-6,1,P,PPS,camara
2194357-6,1,P,Solidaried,camara
2194357-6,2,P,PT,camara
2194357-6,1,P,PSB,camara
2194357-6,1,B,PslPpPsd...,camara
2194357-6,-1,P,NOVO,camara
2194540-7,-1,P,NOVO,camara
2194540-7,1,B,PdtPodePros...,camara
2194540-7,5,P,PT,camara
2194540-7,5,B,Minoria,camara
2194540-7,1,P,PPS,camara
2194540-7,1,P,PRB,camara
2194540-7,5,P,PSB,camara
2194540-7,1,P,PCdoB,camara
2194540-7,-1,P,PSOL,camara
2194540-7,1,P,Solidaried,camara
2194540-7,5,B,PslPpPsd...,camara
946494-77,1,P,REDE,camara
946494-77,1,P,PPL,camara
946494-77,1,B,Maioria,camara
946494-77,1,P,Patriota,camara
946494-77,1,P,PT,camara
946494-77,1,B,Oposição,camara
946494-77,1,P,PPS,camara
946494-77,1,P,PSB,camara
946494-77,1,P,Solidaried,camara
946494-77,1,B,PslPpPsd...,camara
946494-77,1,P,PHS,camara
946494-77,1,P,PRB,camara
946494-77,1,P,PCdoB,camara
946494-77,5,P,NOVO,camara
946494-77,1,P,PSOL,camara
946494-77,1,B,Minoria,camara
946494-77,1,B,GOV.,camara
946494-77,1,B,PdtPodePros...,camara
946494-77,1,P,PRP,camara
946494-77,1,P,PSDB,camara
946494-75,1,B,PdtPodePros...,camara
946494-75,1,P,REDE,camara
946494-75,1,P,PSOL,camara
946494-75,1,P,PRP,camara
